Title;Price
Тартин солодовый, пекарня;140
Тартин солодовый, половинка. Пекарня;75
Тартин_РП;101
Твист слоеный с сыром;115
Тесто пельменное_РП;85
Тортилья пшеничная;57
Тортилья пшеничная со шпинатом;70
Тортилья с томатом и паприкой;70
Улитка «Малина» с крем-чиз;159
Улитка миндальная с вишней. Пекарня;140
Улитка с изюмом, 100 г. Пекарня;105
Улитка с корицей и грецким орехом;145
Улитка с лимоном. Пекарня;135
Улитка с маком и корицей, 100 г;91
Улитка с маком. Пекарня;105
Улитка с творожным кремом и корицей;145
Улитка с шоколадом, Пекарня;150
Улитка слоеная с апельсином и клюквой;133
Улитка слоеная с корицей;113
Улитка слоеная с шоколадом;133
Фокачча с сыром и розмарином;188
Фокачча с сыром, перцем чили и копченой паприкой;137
Фокачча с томатами и розмарином 250г. Пекарня;152
Хачапури с сыром;195
Хачапури с сыром. Пекарня;156
Хлеб «Альпийский» цельнозерновой;290
Хлеб «Бабушкин» пшеничный, нарезка_РП;111
Хлеб «Баварский», нарез., упак._РП;58
Хлеб «Бородино»_РП;66
Хлеб «Бородинский»;150
Хлеб «Бородинский», бездрожжевой. Пекарня;53
Хлеб «Варницкий», нарезка;75
Хлеб «Вкус детства»_ РП;240
Хлеб «Гречишный»;80
Хлеб «Гречишный» без доб. сахара, пекарня;120
Хлеб «Гречишный» на закваске с медом (c доб.дрожжей);130
Хлеб «Гречишный», 300 г._РП;122
Хлеб «Гречневый» с луком, бездрожжевой;77
Хлеб «Гречневый». Пекарня;90
Хлеб «Дарницкий» нарезка_РП;66
Хлеб «Деревенский с семенами льна»_РП;136
Хлеб «Деревенский», подовый_РП;42
Хлеб «Деревенский»_РП;136
Хлеб «Дивеевский», нарезка;240
Хлеб «Домашний», СПБ;57
Хлеб «Донской», нарезка;29
Хлеб «Заварной с клюквой», нарезка;113
Хлеб «Заварной» с сухофруктами;103
Хлеб «Зерновой» нарезка, безглютеновый;212
Хлеб «Кампань» с семенами льна. Пекарня;85
Хлеб «Клюквенный»_РП;170
Хлеб «Купеческий», заварной_РП;85
Хлеб «Латвийский», СПБ;63
Хлеб «Литовский», нарезка;48
Хлеб «Льняной»_РП;160
Хлеб «Многозерновой». Пекарня;105
Хлеб «Мультизерновой»_РП;136
Хлеб «Мультизлаковый» ржаной_РП;146
Хлеб «Мюсли» с семенами подсолнечника_РП;70
Хлеб «Паланга», нарезка;83
Хлеб «Посольский»_РП;70
Хлеб «Прибалтийский», 300 г;82
Хлеб «Пшенично-ржаной», 250 г_РП;58
Хлеб «Пшеничный»_РП;127
Хлеб «Ремесленный с семенами льна и зернами ржи», нарезка;83
Хлеб «Ремесленный», заварной_РП;96
Хлеб «Романовский», нарезка;246
Хлеб «Сила злаков»_РП;77
Хлеб «Симеоновский»;84
Хлеб «Солодовый», заварной_РП;130
Хлеб «Станичный», упак., 600 г_РП;56
Хлеб «Столичный», нарезка;36
Хлеб «Томатный» пряный;83
Хлеб «Тостовый» нарезка, 250 г;70
Хлеб «Тостовый», нарезка;70
Хлеб «Украинский Новый», нарезка;33
Хлеб «Уральский новый», нарез. 600 г_РП;65
Хлеб «Хуторской» с семечками на ржаном солоде, пекарня;145
Хлеб «Цельнозерновой»_РП;142
Хлеб безглютеновый_РП;200
Хлеб бездрожжевой пшеничный посыпка отруби (400гр). Пекарня;65
Хлеб бездрожжевой формовой славянский. Пекарня;85
Хлеб бездрожжевой_РП;44
Хлеб белый формовой, упак., 600 г_РП;60
Хлеб Бородинский, 250 г, Пекарня;83
Хлеб Бородинский, 400 гр_РП;101
Хлеб Бородинский_РП;70
Хлеб Гречневый;87
Хлеб гречневый_РП;120
Хлеб заварной с клюквой_РП;87
Хлеб зерновой, нарезка_РП;66
Хлеб кукурузный на закваске_РП;110
Хлеб Литовский заварной_РП;100
Хлеб пшенично-ржаной «Мозельский». Пекарня;145
Хлеб пшеничный из муки высшего сорта_РП;64
Хлеб Пшеничный на кефире_РП;80
Хлеб пшеничный с семенами, подовый_РП;255
Хлеб пшеничный цельнозерновой, 300 г_РП;140
Хлеб пшеничный, нарезка_РП;57
Хлеб пшеничный, формовой_РП;28
Хлеб ржаной «Легенда Мари»_РП;55
Хлеб ржаной «Родной из детства», половинка. Пекарня;100
Хлеб ржаной «Родной из детства». Пекарня;180
Хлеб ржаной 70% на закваске_РП;86
Хлеб ржаной на закваске Солодовый_ РП;75
Хлеб ржаной цельнозерновой_РП;140
Хлеб Ржаной_РП;60
Хлеб ржано-пшеничный «Монастырский»_РП;56
Хлеб ржано-пшеничный заварной, 375 г;58
Хлеб ржано-пшеничный, формовой_РП;140
Хлеб Рустик_РП;98
Хлеб с прованскими травами, нарезка;70
Хлеб с семенами тыквы;81
Хлеб с семечками и медом_РП;75
Хлеб Солнечный_РП;69
Хлеб тостовый зерновой_РП;67
Хлеб тостовый кефирный_РП;82
Хлеб Французская булка, 0.4 кг_РП;111
Хлеб Французская булка_РП;98
Хлеб фруктово-медовый;137
Хлеб Цельнозерновой льняной_РП;120
